Group,feature,n_detected,n_total,Donor,gene_id,order
AB,DonA__EMOJOO_00890,10,10,DonA,EMOJOO_00890,first
AB,DonA__EMOJOO_00895,10,10,DonA,EMOJOO_00895,first
AB,DonA__EMOJOO_00905,10,10,DonA,EMOJOO_00905,first
AB,DonA__EMOJOO_00910,10,10,DonA,EMOJOO_00910,first
AB,DonA__EMOJOO_00915,10,10,DonA,EMOJOO_00915,first
AB,DonA__EMOJOO_00920,10,10,DonA,EMOJOO_00920,first
AB,DonA__EMOJOO_00925,10,10,DonA,EMOJOO_00925,first
AB,DonA__EMOJOO_00930,10,10,DonA,EMOJOO_00930,first
AB,DonA__EMOJOO_00935,10,10,DonA,EMOJOO_00935,first
AB,DonA__EMOJOO_00940,10,10,DonA,EMOJOO_00940,first
AB,DonA__EMOJOO_00945,10,10,DonA,EMOJOO_00945,first
AB,DonA__EMOJOO_00950,10,10,DonA,EMOJOO_00950,first
AB,DonA__EMOJOO_00955,10,10,DonA,EMOJOO_00955,first
AB,DonA__EMOJOO_00960,10,10,DonA,EMOJOO_00960,first
AB,DonA__EMOJOO_00965,10,10,DonA,EMOJOO_00965,first
AB,DonA__EMOJOO_00970,10,10,DonA,EMOJOO_00970,first
AB,DonA__EMOJOO_00975,10,10,DonA,EMOJOO_00975,first
AB,DonA__EMOJOO_00980,10,10,DonA,EMOJOO_00980,first
AB,DonA__EMOJOO_00985,10,10,DonA,EMOJOO_00985,first
AB,DonA__EMOJOO_00990,10,10,DonA,EMOJOO_00990,first
AB,DonA__EMOJOO_00995,10,10,DonA,EMOJOO_00995,first
AB,DonA__EMOJOO_01000,10,10,DonA,EMOJOO_01000,first
AB,DonA__EMOJOO_01005,10,10,DonA,EMOJOO_01005,first
AB,DonA__EMOJOO_01010,10,10,DonA,EMOJOO_01010,first
AB,DonA__EMOJOO_01015,10,10,DonA,EMOJOO_01015,first
AB,DonA__EMOJOO_01020,10,10,DonA,EMOJOO_01020,first
AB,DonA__EMOJOO_01025,10,10,DonA,EMOJOO_01025,first
AB,DonA__EMOJOO_01030,10,10,DonA,EMOJOO_01030,first
AB,DonA__EMOJOO_01035,10,10,DonA,EMOJOO_01035,first
AB,DonA__EMOJOO_01040,10,10,DonA,EMOJOO_01040,first
AB,DonA__EMOJOO_01045,10,10,DonA,EMOJOO_01045,first
AB,DonA__EMOJOO_01050,10,10,DonA,EMOJOO_01050,first
AB,DonA__EMOJOO_01055,10,10,DonA,EMOJOO_01055,first
AB,DonA__EMOJOO_01060,10,10,DonA,EMOJOO_01060,first
AB,DonA__EMOJOO_01065,10,10,DonA,EMOJOO_01065,first
AB,DonA__EMOJOO_01075,10,10,DonA,EMOJOO_01075,first
AB,DonA__EMOJOO_01080,10,10,DonA,EMOJOO_01080,first
AB,DonA__EMOJOO_01090,10,10,DonA,EMOJOO_01090,first
AB,DonA__EMOJOO_01095,10,10,DonA,EMOJOO_01095,first
AB,DonA__EMOJOO_01100,10,10,DonA,EMOJOO_01100,first
AB,DonA__EMOJOO_01110,10,10,DonA,EMOJOO_01110,first
AB,DonA__EMOJOO_01115,10,10,DonA,EMOJOO_01115,first
AB,DonA__EMOJOO_01120,10,10,DonA,EMOJOO_01120,first
AB,DonA__EMOJOO_01130,10,10,DonA,EMOJOO_01130,first
AB,DonA__EMOJOO_01155,10,10,DonA,EMOJOO_01155,first
AB,DonA__EMOJOO_01160,10,10,DonA,EMOJOO_01160,first
AB,DonA__EMOJOO_01165,10,10,DonA,EMOJOO_01165,first
AB,DonA__EMOJOO_01170,10,10,DonA,EMOJOO_01170,first
AB,DonA__EMOJOO_01175,10,10,DonA,EMOJOO_01175,first
AB,DonA__EMOJOO_01180,10,10,DonA,EMOJOO_01180,first
AB,DonA__EMOJOO_01185,10,10,DonA,EMOJOO_01185,first
AB,DonA__EMOJOO_01190,10,10,DonA,EMOJOO_01190,first
AB,DonA__EMOJOO_01195,10,10,DonA,EMOJOO_01195,first
AB,DonA__EMOJOO_01200,10,10,DonA,EMOJOO_01200,first
AB,DonA__EMOJOO_01210,10,10,DonA,EMOJOO_01210,first
AB,DonA__EMOJOO_01215,10,10,DonA,EMOJOO_01215,first
AB,DonA__EMOJOO_01220,10,10,DonA,EMOJOO_01220,first
AB,DonA__EMOJOO_01225,10,10,DonA,EMOJOO_01225,first
AB,DonA__EMOJOO_01235,10,10,DonA,EMOJOO_01235,first
AB,DonA__EMOJOO_01240,10,10,DonA,EMOJOO_01240,first
AB,DonA__EMOJOO_01245,10,10,DonA,EMOJOO_01245,first
AB,DonA__EMOJOO_01250,10,10,DonA,EMOJOO_01250,first
AB,DonA__EMOJOO_01255,10,10,DonA,EMOJOO_01255,first
AB,DonA__EMOJOO_01260,10,10,DonA,EMOJOO_01260,first
